[main.c] ^^ enclave RIP=0x1076; ACCESSED=1
[main.c] ^^ enclave RIP=0x107b; ACCESSED=1
[main.c] ^^ enclave RIP=0x107f; ACCESSED=1
[main.c] ^^ enclave RIP=0x1083; ACCESSED=1
[main.c] ^^ enclave RIP=0x105b; ACCESSED=1
[main.c] ^^ enclave RIP=0x105f; ACCESSED=1
[main.c] ^^ enclave RIP=0x1063; ACCESSED=1
[main.c] ^^ enclave RIP=0x1066; ACCESSED=1
[main.c] ^^ enclave RIP=0x106a; ACCESSED=1
[main.c] ^^ enclave RIP=0x106e; ACCESSED=1
[main.c] ^^ enclave RIP=0x1071; ACCESSED=1
[main.c] ^^ enclave RIP=0x1074; ACCESSED=1
[main.c] ^^ enclave RIP=0x1076; ACCESSED=1
[main.c] ^^ enclave RIP=0x107b; ACCESSED=1
[main.c] ^^ enclave RIP=0x107f; ACCESSED=1
[main.c] ^^ enclave RIP=0x1083; ACCESSED=1
[main.c] ^^ enclave RIP=0x105b; ACCESSED=1
[main.c] ^^ enclave RIP=0x105f; ACCESSED=1
[main.c] ^^ enclave RIP=0x1063; ACCESSED=1
[main.c] ^^ enclave RIP=0x1066; ACCESSED=1
[main.c] ^^ enclave RIP=0x106a; ACCESSED=1
[main.c] ^^ enclave RIP=0x106e; ACCESSED=1
[main.c] ^^ enclave RIP=0x1071; ACCESSED=1
[main.c] ^^ enclave RIP=0x1074; ACCESSED=1
[main.c] ^^ enclave RIP=0x1076; ACCESSED=1
[main.c] ^^ enclave RIP=0x107b; ACCESSED=1
[main.c] ^^ enclave RIP=0x107f; ACCESSED=1
[main.c] ^^ enclave RIP=0x1083; ACCESSED=1
[main.c] ^^ enclave RIP=0x105b; ACCESSED=1
[main.c] ^^ enclave RIP=0x105f; ACCESSED=1
[main.c] ^^ enclave RIP=0x1063; ACCESSED=1
[main.c] ^^ enclave RIP=0x1066; ACCESSED=1
[main.c] ^^ enclave RIP=0x106a; ACCESSED=1
[main.c] ^^ enclave RIP=0x106e; ACCESSED=1
[main.c] ^^ enclave RIP=0x1071; ACCESSED=1
